PERIOD,CUSTOMER,LOCATION_DC,MEMBERSHIP_NCIX
202601,GEMILANG JAYA ELEKTRINDO,JAKARTA KARET TENGSIN,
202601,PC24 CYBER TELIN,MANADO PANIKI,
202601,LINTASMAYA MULTI MEDIA,BANJARMASIN ULIN,Membership Class C
202601,TELKOM INFRASTRUKTUR INDONESIA,BANDUNG LEMBONG,Membership Class C
202601,SHANGKURIANG TELEKOMUNIKASI INDONESIA,JAKARTA KARET TENGSIN,Membership Class C
202601,PT EKA MAS REPUBLIK,ACEH CENTRUM,
202601,PROXI JARINGAN NUSANTARA,BALIKPAPAN BATUAMPAR,
202601,PC24 CYBER TELIN,SURABAYA KEBALEN,
202601,AIRLINK MEDIA DATA,SEMARANG CANDI,
202601,ROUTELINK MEDIATECH,YOGYAKARTA KOTABARU,
202601,PT INFOMEDIA NUSANTARA,JAKARTA KARET TENGSIN,
202601,LINKNET,MEDAN CENTRUM,
202601,CITRA JAYA ADIWANGSA,PALEMBANG TALANG KALAPA,
202601,WISUANDHA NETWORK GLOBALINDO,PALEMBANG TALANG KALAPA,
202601,PT MORA TELEMATIKA INDONESIA,JAKARTA KARET TENGSIN,Membership Class A
202601,LIMA SATU TIGA GLOBAL TEL-ACCESS,JAKARTA KARET TENGSIN,Membership Class C
202601,NETSPEED BROADBAND INDONESIA,JAKARTA KARET TENGSIN,Membership Class B
202601,PT BINTANG KOMUNIKASI UTAMA,JAKARTA KARET TENGSIN,
202601,PT INDONESIA COMNET PLUS,SEMARANG CANDI,
202601,INSTANET MEDIA NUSANTARA,PEKANBARU CENTRUM,
202601,JURAGAN WIFI INDONESIA,JAKARTA KARET TENGSIN,
202601,PT. PARSAORAN GLOBAL DATATRANS (HSPNET),SURABAYA GUBENG,
202601,PT SOLUSINDO BINTANG PRATAMA,BANDUNG LEMBONG,
202601,SARANA MEDIATAMA INDONESIA,BALIKPAPAN BATUAMPAR,
202601,WAHYU ADIDAYA NETWORK,SEMARANG CANDI,Membership Class B
202601,MEGA AKSES PERSADA (FIBERSTAR),SEMARANG CANDI,Membership Class C
202601,WANRIAU INDOXP,PALEMBANG TALANG KALAPA,
202601,MITRA VISIONER PRATAMA,BANDUNG LEMBONG,
202601,LABIMA GLOBAL SOLUSINDO,YOGYAKARTA KOTABARU,
202601,MAXINDO MITRA SOLUSI,SEMARANG CANDI,
202601,MURNI MAKMUR ABADI,SURABAYA GUBENG,
202601,WOWRACK INDONESIA,SURABAYA GUBENG,
202601,DIGITAL SATELLITE INDONESIA,MEDAN CENTRUM,
202601,DIGITAL SATELLITE INDONESIA,SURABAYA GUBENG,
202601,MILENIAL INTI TELEKOMUNIKASI,JAKARTA KARET TENGSIN,Membership Class B
202601,DIGITAL HASANAH INDONESIA,JAKARTA KARET TENGSIN,Membership Class C
202601,INTERNET INI SAJA,SURABAYA GUBENG,Membership Class C
202601,PT. Smart Milenium Effisiensi (SME),JAKARTA KARET TENGSIN,
202601,GLOBAL KONEKSI INVESTAMA,BANDUNG LEMBONG,
202601,GATEWAY INTERNET INDONESIA,JAKARTA KARET TENGSIN,
202601,INTERNET INI SAJA,SURABAYA GUBENG,
202601,Mayatama Solusindo,PEKANBARU CENTRUM,
202601,COMTRONICS SYSTEMS,PALEMBANG TALANG KALAPA,
202601,STIE PERBANAS SURABAYA,SURABAYA GUBENG,
202601,LINEA GLOBAL TEKNOLOGI,JAKARTA KARET TENGSIN,
202601,INTERNET SOLUSI PRIMA,JAKARTA KARET TENGSIN,
202601,MILENIAL INTI TELEKOMUNIKASI,MEDAN CENTRUM,
202601,PEMPROV JAWA TIMUR,BATAM CENTRE,
202601,VICTORY NETWORK INDONESIA,JAKARTA KARET TENGSIN,
202601,TASKA SARANA NUSANTARA,BANDUNG LEMBONG,
202601,BINERKAHAN DIGITAL TELCO,SEMARANG CANDI,
202601,PT NETZME KREASI INDONESIA,JAKARTA KARET TENGSIN,
202601,UNIVERSITAS GAJAH MADA,YOGYAKARTA KOTABARU,
202601,UNIVERSITAS ISLAM INDONESIA,YOGYAKARTA KOTABARU,
202601,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,BATAM CENTRE,
202601,STT TELKOM,JAKARTA JATINEGARA,
202601,UNIVERSITAS NEGERI PADANG,JAKARTA JATINEGARA,
202601,INTERNUSA TRIBUANA  CITRA FINANCE,JAKARTA JATINEGARA,
202601,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,BANJARMASIN ULIN,
202601,PEMKAB ACEH TENGAH,MEDAN CENTRUM,
202601,FORTUNA MEDIATAMA,BANDUNG LEMBONG,
202601,TELKOM INTERNASIONAL INDONESIA,SURABAYA KEBALEN,
202601,PEMPROV KALIMANTAN SELATAN,YOGYAKARTA KOTABARU,
202601,PT BEON INTERMEDIA,JAKARTA KARET TENGSIN,
202601,UNIVERSITAS TRISAKTI,JAKARTA JATINEGARA,
202601,PT BIMASAKTI MULTI SINERGI,SURABAYA KEBALEN,
202601,UIN ALAUDDIN MAKASSAR,MAKASSAR MATOANGIN,
202601,PEMKAB LUWU TIMUR,MAKASSAR MATOANGIN,
202601,BPR PADMA,DENPASAR KALIASEM,
202601,BPR CIANJUR,BANDUNG LEMBONG,
202601,PT USSI PINBUK PRIMA SOFTWARE,DENPASAR KALIASEM,
202601,TELEKOMUNIKASI INDONESIA INTERNATIONAL,MEDAN CENTRUM,
202601,Prestasi Piranti Informasi,JAKARTA KARET TENGSIN,
202601,PT MEDIA ANTAR NUSA,MEDAN CENTRUM,Membership Class C
202601,JALA LINTAS MEDIA,MAKASSAR MATOANGIN,
202601,PT JEMBATAN CITRA NUSANTARA,YOGYAKARTA KOTABARU,Membership Class A
202601,AMRON CITINET,JAKARTA KARET TENGSIN,
202601,TELKOM INFRASTRUKTUR INDONESIA,MANADO PANIKI,
202601,PT APLIKANUSA LINTASARTA ,PONTIANAK CENTRUM,
202601,DIGITAL SATELLITE INDONESIA,BATAM CENTRE,
202601,MAHAWIRA NUSANTARA GRUP,SURABAYA GUBENG,
202601,CIPTA INFORMATIKA CEMERLANG,BATAM CENTRE,
202601,XLSMART TELECOM SEJAHTERA,PALEMBANG TALANG KALAPA,
202601,PT APLIKANUSA LINTASARTA ,SURABAYA GUBENG,
202601,LINTAS JARINGAN NUSANTARA,BATAM CENTRE,
202601,ADEAKSA INDO JAYATAMA (DEXANET),YOGYAKARTA KOTABARU,
202601,Ambhara Duta Shanti,JAKARTA KARET TENGSIN,Membership Class A
202601,PT HIPERNET INDODATA,SURABAYA GUBENG,
202601,GLOBAL INTERNET INDONESIA,BANDUNG LEMBONG,
202601,MILENIAL INTI TELEKOMUNIKASI,SEMARANG CANDI,
202601,EMPAT DATA LINK,DENPASAR KALIASEM,
202601,DIGITAL SATELLITE INDONESIA,SEMARANG CANDI,
202601,AKSES DATA INTERNUSA,YOGYAKARTA KOTABARU,
202601,GRAHA ANUGERA SEJAHTERA,JAKARTA KARET TENGSIN,
202601,BORNEO GLOBAL PERSADA,PONTIANAK CENTRUM,
202601,INTERNET MADJU ABAD MILENINDO,DENPASAR KALIASEM,
202601,TELKOM DWS,SURABAYA GUBENG,
202601,BINA INFORMATIKA SOLUSINDO,BANDUNG LEMBONG,
202601,CENDIKIA GLOBAL SOLUSI,SURABAYA GUBENG,
202601,JALA LINTAS MEDIA,MEDAN CENTRUM,
202601,PT EKA MAS REPUBLIK,BALIKPAPAN BATUAMPAR,
202601,JURAGAN WIFI INDONESIA,MANADO PANIKI,
202601,GLOBAL INTERNET INDONESIA,SEMARANG CANDI,
202601,INTERNET MADJU ABAD MILENINDO,BALIKPAPAN BATUAMPAR,
202601,LINKNET,JAKARTA KARET TENGSIN,
202601,BLIP INTEGRATOR PROVIDER,DENPASAR KALIASEM,
202601,TELEMEDIA DINAMIKA SARANA (GASNET),BATAM CENTRE,
202601,PT. MEDIALINK GLOBAL MANDIRI,MAKASSAR MATOANGIN,
202601,PT MORA TELEMATIKA INDONESIA,BATAM CENTRE,
202601,PT . INSAN SARANA TELEMATIKA,BATAM CENTRE,
202601,XLSMART TELECOM SEJAHTERA,BALIKPAPAN BATUAMPAR,
202601,MITRA VISIONER PRATAMA,PEKANBARU CENTRUM,
202601,DIGITAL SATELLITE INDONESIA,SURABAYA KEBALEN,
202601,GARUDA MITRA SOLUSI,MALANG,
202601,MEGA ARTHA LINTAS ARTHA,SURABAYA GUBENG,
202601,PT INDOSAT TBK,JAKARTA KARET TENGSIN,
202601,JURAGAN WIFI INDONESIA,MAKASSAR MATOANGIN,
202601,PT EKA MAS REPUBLIK,JAKARTA KARET TENGSIN,
202601,PT INDOSAT TBK,MANADO PANIKI,
202601, LINTAS DATA TRANS,JAKARTA KARET TENGSIN,
202601,KHAZANAH MEDIA NETWORK NUSANTARA,BANJARMASIN ULIN,
202601,SELARAS CITRA TERABIT,YOGYAKARTA KOTABARU,Membership Class B
202601,SUMBER DATA INDONESIA,JAKARTA KARET TENGSIN,Membership Class C
202601,COMTELINDO,BALIKPAPAN BATUAMPAR,
202601,BKV NET TELEMEDIA,BALIKPAPAN BATUAMPAR,
202601,WOWRACK CEPAT TEKNOLOGI NUSANTARA (WOWNET),JAKARTA KARET TENGSIN,
202601,LINTAS JARINGAN NUSANTARA,PALEMBANG TALANG KALAPA,
202601,TELKOM DWS,BANDUNG LEMBONG,
202601,TELKOM INFRASTRUKTUR INDONESIA,SURABAYA GUBENG,
202601,HERZA DIGITAL INDONESIA,SURABAYA GUBENG,Membership Class C
202601,PC24 CYBER TELIN,BANDUNG LEMBONG,Membership Class B
202601,LINTAS JARINGAN NUSANTARA,BANDUNG LEMBONG,
202601,MEGA ARTHA LINTAS ARTHA,PALEMBANG TALANG KALAPA,
202601,AQRAPANA DAYA MANDIRI,PUGERAN YOGYAKARTA,
202601,TOWER BERSAMA,JAKARTA KARET TENGSIN,
202601,PT SOLUSINDO BINTANG PRATAMA,BATAM CENTRE,
202601,DATAKOM PADMA JAYA,SURABAYA GUBENG,
202601,GLOBAL SARANA ELEKTRONIKA,BANDUNG LEMBONG,Membership Class C
202601,PT HIPERNET INDODATA,JAKARTA KARET TENGSIN,Membership Class C
202601,SMART TEKNOLOGI UTAMA,BANDUNG LEMBONG,
202601,KANGEN NETWORK SOLUSINDO,PEKANBARU CENTRUM,
202601,PT APLIKANUSA LINTASARTA ,BALIKPAPAN BATUAMPAR,
202601,BINA KARSA TURAYA,MAKASSAR MATOANGIN,
202601,PC24 CYBER TELIN,LAMPUNG TANJUNG KARANG,
202601,ADIZKA LINTAS DATA,BALIKPAPAN BATUAMPAR,
202601,PT K 24 INDONESIA YOGYAKARTA,YOGYAKARTA KOTABARU,
202601,KERETA COMMUTER INDONESIA,SURABAYA GUBENG,
202601,UNIVERSITAS DIPONEGORO SEMARANG,SEMARANG BANYUMANIK,
202601,SHANGKURIANG TELEKOMUNIKASI INDONESIA,MAKASSAR MATOANGIN,
202601,REUEUS SUMBER DATA,BANDUNG LEMBONG,
202601,NESTA INDO MEDIA,BALIKPAPAN BATUAMPAR,
202601,UNIVERSITAS NEGERI JAKARTA,BANDUNG LEMBONG,
202601,PT LIPPO LIFE ASSURANCE,JAKARTA JATINEGARA,
202601,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,YOGYAKARTA KOTABARU,
202601,PENITI MONEY REMITTANCE,JAKARTA JATINEGARA,
202601,PT FADHILAH SOLUSI TELEMATIKA,JAKARTA KARET TENGSIN,
202601,ATLANTIC RICHFIELD INDONESIA,SURABAYA KEBALEN,
202601,CV GOWTECHNO,MAKASSAR MATOANGIN,
202601,BPRS HIK Parahyangan,BANDUNG LEMBONG,
202601,PEMPROV ACEH,ACEH CENTRUM,
202601,HOSTNET DATA GLOBAL,JAKARTA KARET TENGSIN,
202601,PT TIARA MARGA TRAKINDO,JAKARTA JATINEGARA,
202601,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,BATAM BUKITDANGAS,
202601,TELKOMUNIKASI INDONESIA,SURABAYA KEBALEN,
202601,PT NIELSEN AUDIENCE MEASUREMENT,BANJARMASIN ULIN,
202601,UNIVERISTAS NEGERI YOGYAKARTA (IKIP),SEMARANG CANDI,
202601,PEMKOT BANDA ACEH,ACEH CENTRUM,
202601,PT INFRATELINDO NUSANTARA INVESTAMA,MEDAN CENTRUM,Membership Class B
202601,UPN VETERAN YOGYAKARTA,YOGYAKARTA KOTABARU,
202601,STIKES MUHAMMADIYAH MANADO,MANADO PANIKI,
202601,PEMKAB KOTABARU,BANJARMASIN ULIN,
202601,PANGKALAN LINTAS DATA,CIREBON,
202601,TIGATRA INFOKOM,JAKARTA KARET TENGSIN,
202601,MEDIA SARANA DATA ( GMEDIA ),YOGYAKARTA KOTABARU,
202601,INDO INTERNET,JAKARTA KARET TENGSIN,
202601,MEGARAP MITRA SOLUSI,LAMPUNG TANJUNG KARANG,
202601,CENDIKIA GLOBAL SOLUSI,BANDUNG LEMBONG,
202601,TELEKOMUNIKASI INDONESIA INTERNATIONAL,BANJARMASIN ULIN,
202601,Ambhara Duta Shanti,JAKARTA KARET TENGSIN,Membership Class B
202601,MULTIMEDIA TRANS DATA,JAKARTA KARET TENGSIN,
202601,TELKOM INFRASTRUKTUR INDONESIA,YOGYAKARTA KOTABARU,
202601,CYBERTECHTONIC PRATAMA,JAKARTA KARET TENGSIN,Membership Class B
202601,INDONESIA TRANS NETWORK (ITN),LAMPUNG TANJUNG KARANG,
202601,PT JEMBATAN CITRA NUSANTARA,YOGYAKARTA KOTABARU,Membership Class C
202601,PT MEDIA ANTAR NUSA,JAKARTA KARET TENGSIN,
202601,TELKOM INFRASTRUKTUR INDONESIA,BALIKPAPAN BATUAMPAR,
202601,LINKNET,SEMARANG CANDI,
202601,INDONESIA TRANS NETWORK (ITN),PALEMBANG TALANG KALAPA,
202601,MEDIA SARANA DATA ( GMEDIA ),BALIKPAPAN BATUAMPAR,
202601,MITRA VISIONER PRATAMA,JAKARTA KARET TENGSIN,
202601,FIBER MEDIA INDONESIA,JAKARTA KARET TENGSIN,
202601,PT Trans Hybrid Communication,MAKASSAR MATOANGIN,
202601,MITRA LINTAS MULTIMEDIA,MAKASSAR MATOANGIN,
202601,MULTI TRANS DATA,BALIKPAPAN BATUAMPAR,
202601,ADIDAYA INFOCOM LESTARI (AIL),MEDAN CENTRUM,Membership Class B
202601,LINTAS DATA PRIMA (LDP),YOGYAKARTA KOTABARU,
202601,GADING BHAKTI UTAMA,BANDUNG LEMBONG,
202601,PT MEDIA ANTAR NUSA,JAKARTA KARET TENGSIN,Membership Class C
202601,CYBERINDO TELEKOMUNIKASI BORNEO,BANJARMASIN ULIN,
202601,PT APLIKANUSA LINTASARTA ,DENPASAR KALIASEM,
202601,PT APLIKANUSA LINTASARTA ,BATAM CENTRE,
202601,PRATAMA ASIA GLOBALINDO,BANDUNG LEMBONG,
202601,RAJAWALI BINTANG CEMERLANG TELKOMEDIA,PEKANBARU CENTRUM,
202601,KAOPU CLOUD INDONESIA,SURABAYA KEBALEN,
202601,TELKOM DWS-TRIAL 8IC,JAKARTA KARET TENGSIN,Membership Class B
202601,LINTAS DATA PRIMA (LDP),YOGYAKARTA KOTABARU,Membership Class B
202601,TELKOM INFRASTRUKTUR INDONESIA,SEMARANG CANDI,Membership Class B
202601,ASIA CENTRAL TELEMATIKA,MANADO PANIKI,
202601,RIAU SATU NET,PEKANBARU CENTRUM,
202601,ADIDAYA INFOCOM LESTARI (AIL),MEDAN CENTRUM,
202601,WHIZ DIGITAL BERJAYA,BANDUNG LEMBONG,
202601,PROXI JARINGAN NUSANTARA,MAKASSAR MATOANGIN,
202601,THREEGO TECHNOLOGY INDONESIA,JAKARTA KARET TENGSIN,
202601,SIGNAL INDO SUKSES,MEDAN CENTRUM,Membership Class C
202601,WHIZ DIGITAL BERJAYA,JAKARTA KARET TENGSIN,Membership Class C
202601,MILENIAL INTI TELEKOMUNIKASI,DENPASAR KALIASEM,
202601,WHIZ DIGITAL BERJAYA,SURABAYA GUBENG,
202601,DIGITAL WIRELESS INDONESIA,JAKARTA KARET TENGSIN,
202601,INTERLINK TECHNOLOGY,JAKARTA KARET TENGSIN,
202601,LINKNET,JAKARTA KARET TENGSIN,Membership Class C
202601,REMALA ABADI,JAKARTA KARET TENGSIN,Membership Class A
202601,NUSANTARA AKSES TELEKOMUNIKASI,BANDUNG LEMBONG,
202601,DELTA SURYA SOLUSITAMA,SURABAYA GUBENG,Membership Class C
202601,TELEKOMUNIKASI INDONESIA INTERNATIONAL,YOGYAKARTA KOTABARU,Membership Class A
202601,CITRA PRIMA MEDIA,MAKASSAR MATOANGIN,
202601,ARTHA MEDIA LINTAS NUSA,BANDUNG LEMBONG,
202601,WOWRACK CEPAT TEKNOLOGI NUSANTARA (WOWNET),SURABAYA GUBENG,
202601,INOVASI TJARAKA BUANA,SURABAYA GUBENG,Membership Class C
202601,PUSKOMEDIA INDONESIA KREATIF,YOGYAKARTA KOTABARU,Membership Class C
202601,PT HIPERNET INDODATA,PALEMBANG TALANG KALAPA,
202601,DINAMIKA MEDIAKOM,JAKARTA KARET TENGSIN,
202601,TRI ERSA GEMILANG,JAKARTA KARET TENGSIN,
202601,INDONUSA SYSTEM INTEGRATOR PRIMA,SURABAYA GUBENG,Membership Class C
202601,WANRIAU INDOXP,PEKANBARU CENTRUM,
202601,PT. PARSAORAN GLOBAL DATATRANS (HSPNET),MEDAN CENTRUM,
202601,PUTRA LEBAK BANTEN,BANDUNG LEMBONG,
202601,DUMAI MANDIRI NET,PEKANBARU CENTRUM,
202601,PUTRA GARSEL INTERKONEKSI,JAKARTA KARET TENGSIN,
202601,PT BATAM BINTAN TELEKOMUNIKASI,BATAM CENTRE,
202601,LINTASMAYA MULTI MEDIA,PEKANBARU CENTRUM,
202601,PC24 CYBER TELIN,SURABAYA GUBENG,Membership Class C
202601,MAXINDO MITRA SOLUSI,SURABAYA GUBENG,Membership Class B
202601,BMKG,JAKARTA MERUYA,
202601,PATRIA LINTAS JAYA,BALIKPAPAN BATUAMPAR,
202601,LEXXA DATA INDONUSA,SURABAYA GUBENG,Membership Class B
202601,LANCAR JAYA NETWORK,BALIKPAPAN BATUAMPAR,
202601,PT JASNITA TELEKOMINDO,JAKARTA KARET TENGSIN,
202601,RING MEDIA NUSANTARA,BANDUNG LEMBONG,
202601,LINTAS JARINGAN NUSANTARA,SEMARANG CANDI,
202601,BUANA VARIA KOMPUTAMA,JAKARTA JATINEGARA,
202601,UNIVERSITAS PENDIDIKAN INDONESIA (UPI),JAKARTA JATINEGARA,
202601,KERETA COMMUTER INDONESIA,BANDUNG LEMBONG,
202601,PT INFOKOM EXE,BANDUNG LEMBONG,
202601,KEMENTERIAN KELAUTAN DAN PERIKANAN,BANDUNG LEMBONG,
202601,UNIVERSITAS TADULAKO,BATAM CENTRE,
202601,PT NETINDO PERSADA NUSANTARA,MEDAN CENTRUM,
202601,PEMKAB KULON PROGO,YOGYAKARTA KOTABARU,
202601,PEMPROV DAERAH KHUSUS JAKARTA,BANDUNG LEMBONG,
202601,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,MANADO PANIKI,
202601,PT SYAPUTRA CAPITAL INVESTAMA,BALIKPAPAN BATUAMPAR,
202601,PEMKOT BANJARMASIN,YOGYAKARTA KOTABARU,
202601,PEMKAB BERAU,SURABAYA GUBENG,
202601,POLDA JAWA TIMUR,SURABAYA KEBALEN,
202601,BPR BINSANI GROUP,SEMARANG CANDI,
202601,PT NIELSEN AUDIENCE MEASUREMENT,YOGYAKARTA KOTABARU,
202601,BADAN INTELIJEN NEGARA (BIN),MANADO PANIKI,
202601,JASA TIRTA I PERUM,SURABAYA GUBENG,
202601,PT JEMBATAN CITRA NUSANTARA,PUGERAN YOGYAKARTA,
202601,PT APLIKANUSA LINTASARTA ,YOGYAKARTA KOTABARU,
202601,PT APLIKANUSA LINTASARTA ,MEDAN CENTRUM,
202601,INTEGRASI JARINGAN EKOSISTEM,CIREBON,
202601,JURAGAN WIFI INDONESIA,CIREBON,
202601,PT GAHARU SEJAHTERA,SURABAYA GUBENG,Membership Class A
202601,HANASTA DAKARA,BANDUNG LEMBONG,Membership Class C
202601,INOVASI TJARAKA BUANA,BANDUNG LEMBONG,
202601,LINTAS JARINGAN NUSANTARA,JAKARTA KARET TENGSIN,Membership Class A
202601,TELKOM INFRASTRUKTUR INDONESIA,PALEMBANG TALANG KALAPA,
202601,DIGITAL SATELLITE INDONESIA,MAKASSAR MATOANGIN,
202601,PT APLIKANUSA LINTASARTA ,MAKASSAR MATOANGIN,
202601,TELKOM INFRASTRUKTUR INDONESIA,PONTIANAK CENTRUM,
202601,MEGA AKSES PERSADA (FIBERSTAR),MEDAN CENTRUM,
202601,LINKNET,DENPASAR KALIASEM,
202601,SELARAS CITRA TERABIT,YOGYAKARTA KOTABARU,
202601,iFORTE SOLUSI INFOTEK,SURABAYA GUBENG,
202601,DINAMIKA MEDIAKOM,YOGYAKARTA KOTABARU,
202601,LEVEL INDODATA TEKNOLOGI,SEMARANG CANDI,
202601,ARTHA MEDIA LINTAS NUSA,JAKARTA KARET TENGSIN,Membership Class B
202601,SKYLINE SEMESTA,BANDUNG LEMBONG,Membership Class B
202601,PT HIPERNET INDODATA,MAKASSAR MATOANGIN,
202601,CROSS NETWORK INDONESIA,MANADO PANIKI,
202601,iFORTE SOLUSI INFOTEK,DENPASAR KALIASEM,
202601,MITRA VISIONER PRATAMA,BATAM CENTRE,
202601,BLIP INTEGRATOR PROVIDER,SURABAYA GUBENG,
202601,PT EKA MAS REPUBLIK,BANJARMASIN ULIN,
202601,DIGITAL WIRELESS INDONESIA,SURABAYA KEBALEN,
202601,BIT Teknologi Nusantara,BANJARMASIN ULIN,
202601,SOSIAL TEKNOLOGI INDONESIA,SURABAYA GUBENG,
202601,INTERNET INI SAJA,BANDUNG LEMBONG,
202601,PUTRA GARSEL INTERKONEKSI,DENPASAR KALIASEM,
202601,ARTHA MEDIA LINTAS NUSA,SURABAYA GUBENG,Membership Class C
202601,PC24 CYBER TELIN,MEDAN CENTRUM,Membership Class C
202601,PT APLIKANUSA LINTASARTA ,BALIKPAPAN SEPAKU,
202601,TELKOM AKSES,JAKARTA JATINEGARA,
202601,PT APLIKANUSA LINTASARTA ,MALANG,
202601,DEWATA TELEMATIKA (DETELNET),DENPASAR KALIASEM,
202601,SOLNET INDONESIA,BATAM CENTRE,
202601,PT APLIKANUSA LINTASARTA ,JAKARTA KARET TENGSIN,Membership Class A
202601,TELKOM INFRASTRUKTUR INDONESIA,PEKANBARU CENTRUM,Membership Class B
202601,LIMA SATU TIGA GLOBAL TEL-ACCESS,SEMARANG CANDI,Membership Class C
202601,FIBER NETWORKS INDONESIA,SEMARANG CANDI,
202601,Prestasi Piranti Informasi,BANDUNG LEMBONG,
202601,PT HIPERNET INDODATA,DENPASAR KALIASEM,
202601,XLSMART TELECOM SEJAHTERA,BANJARMASIN ULIN,
202601,BOX NET MEDIA,MEDAN CENTRUM,
202601,PANGLIMA KAMAYO MEDIA,PALEMBANG TALANG KALAPA,
202601,JARINGANKU SARANA NUSANTARA,BATAM CENTRE,
202601,SOLNET INDONESIA,PEKANBARU CENTRUM,
202601,ANUGRAH KARUNIA PERKASA ABADI,JAKARTA KARET TENGSIN,Membership Class C
202601,LISAR INTERNATIONAL NETWORKING,MAKASSAR MATOANGIN,
202601,iFORTE SOLUSI INFOTEK,BALIKPAPAN BATUAMPAR,
202601,PT Trans Hybrid Communication,BANDUNG LEMBONG,
202601,MMS DIGITAL COMMUNICATION,BATAM CENTRE,
202601,DING KLOUD INDOKARYA,SEMARANG CANDI,
202601,PT GRAHA INFORMATIKA NUSANTARA,SURABAYA KEBALEN,
202601,MEGA ARTHA LINTAS ARTHA,YOGYAKARTA KOTABARU,
202601,JEFF NETWORK NUSANTARA,BANJARMASIN ULIN,
202601,TRADA TELEKOM INDONESIA,JAKARTA KARET TENGSIN,
202601,KHAZANAH MEDIA NETWORK NUSANTARA,BALIKPAPAN BATUAMPAR,
202601,MEDIA SARANA DATA ( GMEDIA ),YOGYAKARTA KOTABARU,Membership Class C
202601,RETBIZZ EXABIT INDONESIA,JAKARTA KARET TENGSIN,Membership Class C
202601,UNION ROUTELINK COMMUNICATION,YOGYAKARTA KOTABARU,Membership Class C
202601,METROSOLUSI TEKNOLOGI INDONESIA,DENPASAR KALIASEM,
202601,PT HIPERNET INDODATA,BALIKPAPAN BATUAMPAR,
202601,MEGA AKSES PERSADA (FIBERSTAR),SEMARANG CANDI,
202601,COMTRONICS SYSTEMS,JAKARTA KARET TENGSIN,
202601, INSOLIKH JARINGAN MULTIMEDIA,MANADO PANIKI,
202601,Universitas Merdeka Malang,MALANG,
202601,GLOBAL INTI CORPOTAMA,JAKARTA KARET TENGSIN,
202601,UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,YOGYAKARTA KOTABARU,
202601,INDONUSA SYSTEM INTEGRATOR PRIMA,JAKARTA KARET TENGSIN,Membership Class C
202601,MILENIAL INTI TELEKOMUNIKASI,JAKARTA KARET TENGSIN,
202601,TIGATRA INFOKOM,JAKARTA KARET TENGSIN,Membership Class C
202601,NAURA NETWORK NUSANTARA,BANDUNG LEMBONG,
202601,COMTRONICS SYSTEMS,BANDUNG LEMBONG,Membership Class C
202601,MURIA GLOBAL NETWORK,SEMARANG CANDI,
202601,PT. PERTAMINA HULU MAHAKAM,BALIKPAPAN BATUAMPAR,
202601,UNIVERSITAS AHMAD DAHLAN,YOGYAKARTA KOTABARU,
202601,KINEZ CREATIVE SOLUTIONS,JAKARTA KARET TENGSIN,
202601,PT BPRS HARTA INSAN KARIMAH CIBITUNG,BANDUNG LEMBONG,
202601,KEMENTERIAN SEKRETARIS NEGARA,JAKARTA KARET TENGSIN,
202601,PEMPROV KALIMANTAN TIMUR,BALIKPAPAN BATUAMPAR,
202601,IAIN MANADO,JAKARTA KARET TENGSIN,
202601,UNIVERSITAS MUSAMUS MERAUKE,MAKASSAR MATOANGIN,
202601,PT PRIMACOM INTERBUANA,JAKARTA KARET TENGSIN,
202601,PT KALAMAYA INTI AKSES,JAKARTA KARET TENGSIN,
202601,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,JAKARTA KARET TENGSIN,
202601,NATRINDO GLOBAL TELEKOMUNIKASI,MANADO PANIKI,
202601,INDOGUNA UTAMA,JAKARTA JATINEGARA,
202601,PEMKAB TAPIN,BANJARMASIN ULIN,
202601,PT MELVAR LINTASNUSA,BANDUNG LEMBONG,
202601,LEMBAGA SANDI NEGARA,BATAM CENTRE,
202601,KIDECO PT,BALIKPAPAN BATUAMPAR,
202601,PT BUANA VISUALNET SENTRA,BATAM CENTRE,
202601,PEMKAB SIDOARJO,BATAM CENTRE,
202601,PEMPROV ACEH,JAKARTA MERUYA,
202601,CV PERKASA TELKOMSELINDO,SEMARANG BANYUMANIK,
202601,MEGA AKSES PERSADA (FIBERSTAR),JAKARTA KARET TENGSIN,
202601,RING MEDIA NUSANTARA,JAKARTA KARET TENGSIN,
202601,WHIZ DIGITAL BERJAYA,MEDAN CENTRUM,Membership Class C
202601,MITRA VISIONER PRATAMA,PALEMBANG TALANG KALAPA,
202601,LIGHTSTORM INDONESIA TELEKOMUNIKASI,SEMARANG CANDI,
202601,KAOPU CLOUD INDONESIA,JAKARTA KARET TENGSIN,
202601,MITRA LINTAS MULTIMEDIA,BATAM CENTRE,
202601,ABHINAWA SUMBERDAYA ASIA,JAKARTA KARET TENGSIN,
202601,PT INDOSAT TBK,DENPASAR KALIASEM,
202601,PUTRA GARSEL INTERKONEKSI,BANDUNG LEMBONG,
202601,SPEED NETWORK INDONESIA,LAMPUNG TANJUNG KARANG,
202601,INTERNET SOLUSI PRIMA,SURABAYA GUBENG,
