PERIOD,CUSTOMER,LOCATION_DC,MEMBERSHIP_NCIX
202601,MILENIAL INTI TELEKOMUNIKASI,BALIKPAPAN BATUAMPAR,
202601,JARINGANKU SARANA NUSANTARA,PALEMBANG TALANG KALAPA,
202601,PT PGAS Telekomunikasi Nusantara,MEDAN CENTRUM,
202601,WAHYU ADIDAYA NETWORK,SEMARANG CANDI,
202601,MAXINDO MITRA SOLUSI,BANDUNG LEMBONG,
202601,FIBER NETWORKS INDONESIA,PEKANBARU CENTRUM,
202601,PT Trans Hybrid Communication,SURABAYA GUBENG,
202601,LINTAS DATA PRIMA (LDP),SURABAYA GUBENG,Membership Class B
202601,CLOUD HOSTING INDONESIA,JAKARTA KARET TENGSIN,Membership Class B
202601,MEDIA SARANA AKSES (MSA),SEMARANG CANDI,
202601,JARINGAN VNT INDONESIA,BANDUNG LEMBONG,
202601,PUTRA LEBAK BANTEN,JAKARTA KARET TENGSIN,
202601,MULTI TRANS DATA,DENPASAR KALIASEM,
202601,PT INDONESIA COMNET PLUS,ACEH CENTRUM,
202601,PT SYAPUTRA CAPITAL INVESTAMA,JAKARTA KARET TENGSIN,Membership Class B
202601,PT NATHA BUANA INDONESIA,BANDUNG LEMBONG,
202601,UNIVESITAS TANJUNGPURA,PONTIANAK CENTRUM,
202601,PT UGT SYSTEM INTEGRATOR DEVELOPMENT,SURABAYA GUBENG,
202601,PEMKAB BANDUNG BARAT,BATAM CENTRE,
202601,POLDA DI YOGYAKARTA,YOGYAKARTA KOTABARU,
202601,PT GLOBAL TIKET NETWORK,BANDUNG LEMBONG,
202601,BANK KALTIM,BALIKPAPAN BATUAMPAR,
202601,RAJAWALI ADIWISMA,JAKARTA JATINEGARA,
202601,PEMKOT BOGOR,JAKARTA JATINEGARA,
202601,KEMENTERIAN KOMUNIKASI DAN DIGITAL,BATAM CENTRE,
202601,PERKEBUNAN NUSANTARA X,SURABAYA KEBALEN,
202601,JAYA TEKNIK INDONESIA,BANDUNG LEMBONG,
202601,PT BUANA VISUALNET SENTRA,BATAM CENTRE LT 4,
202601,PT NATHA BUANA INDONESIA,JAKARTA KARET TENGSIN,
202601,PEMKAB NATUNA,BATAM CENTRE,
202601,PT INTEGRASI LOGISTIK CIPTA SOLUSI,JAKARTA KARET TENGSIN,Membership Class B
202601,PEMKOT PALU,MAKASSAR MATOANGIN,
202601,PEMKAB BALANGAN,BANJARMASIN ULIN,
202601,KOP JASA PEMASARAN POJOK SYARIAH,BANDUNG LEMBONG,
202601,BPD SUMATERA SELATAN,PALEMBANG TALANG KALAPA,
202601,PT INFOMEDIA NUSANTARA,SURABAYA KEBALEN,
202601,TELEKOMUNIKASI INDONESIA INTERNATIONAL,BANDUNG LEMBONG,
202601,CITRA AGUNG MESTIKA,MAKASSAR MATOANGIN,
202601,MITRA VISIONER PRATAMA,SURABAYA GUBENG,
202601,PT . INSAN SARANA TELEMATIKA,YOGYAKARTA KOTABARU,
202601,ZINET MEDIA NUSANTARA,DENPASAR KALIASEM,
202601,TELEKOMUNIKASI INDONESIA INTERNATIONAL,BATAM CENTRE,
202601,TELKOM INFRASTRUKTUR INDONESIA,PEKANBARU CENTRUM,
202601,PT . INSAN SARANA TELEMATIKA,YOGYAKARTA KOTABARU,Membership Class C
202601,VARNION TECHNOLOGY SEMESTA,DENPASAR KALIASEM,
202601,TELKOM INFRASTRUKTUR INDONESIA,BATAM CENTRE,
202601, INDITECH GLOBAL NETWORK,YOGYAKARTA KOTABARU,
202601,PROXI JARINGAN NUSANTARA,BATAM CENTRE,
202601,MULTIMEDIA DATA SENTRA,PALEMBANG TALANG KALAPA,
202601,PT . INSAN SARANA TELEMATIKA,JAKARTA KARET TENGSIN,
202601,PT INDOSAT TBK,BALIKPAPAN BATUAMPAR,
